Order_ID,Customer_ID,Order_Date,Product,Category,Region,Sales_Channel,Quantity,Unit_Price,Discount_Pct,Promotion_Flag,Sales,Year,Month,Month_Name,Week,Day_Name
ORD000001,CUST04912,2023-01-01,Air Fryer,Home & Kitchen,North,Online,17,7965.22,0.0,0,135408.74,2023,1,Jan,52,Sunday
ORD000002,CUST04632,2023-01-01,Smartphone X,Electronics,South,Store,2,37001.47,10.0,0,66602.65,2023,1,Jan,52,Sunday
ORD000003,CUST02768,2023-01-01,Smartphone X,Electronics,South,Online,9,38616.92,10.0,0,312797.05,2023,1,Jan,52,Sunday
ORD000004,CUST02940,2023-01-01,Standing Desk,Furniture,East,Store,11,15883.86,10.0,0,157250.21,2023,1,Jan,52,Sunday
ORD000005,CUST01361,2023-01-01,Running Shoes,Fashion,East,Store,6,3284.47,10.0,0,17736.14,2023,1,Jan,52,Sunday
ORD000006,CUST04086,2023-01-01,Laptop Pro 14,Electronics,West,Marketplace,4,83225.84,0.0,0,332903.36,2023,1,Jan,52,Sunday
ORD000007,CUST04628,2023-01-01,Coffee Maker,Home & Kitchen,East,Marketplace,13,6721.79,0.0,1,87383.27,2023,1,Jan,52,Sunday
ORD000008,CUST01758,2023-01-01,Air Fryer,Home & Kitchen,North,Store,15,6574.34,15.0,0,83822.84,2023,1,Jan,52,Sunday
ORD000012,CUST04982,2023-01-02,LED Bulb Pack,Home & Kitchen,North,Store,20,669.86,0.0,0,13397.2,2023,1,Jan,1,Monday
ORD000011,CUST04374,2023-01-02,LED Bulb Pack,Home & Kitchen,West,Marketplace,15,658.41,0.0,0,9876.15,2023,1,Jan,1,Monday
ORD000009,CUST02733,2023-01-02,Smartphone X,Electronics,West,Marketplace,5,40559.98,5.0,0,192659.9,2023,1,Jan,1,Monday
ORD000010,CUST04541,2023-01-02,Running Shoes,Fashion,South,Marketplace,12,3708.69,0.0,1,44504.28,2023,1,Jan,1,Monday
ORD000019,CUST02502,2023-01-03,Smartphone X,Electronics,North,Store,13,40254.97,5.0,0,497148.88,2023,1,Jan,1,Tuesday
ORD000022,CUST04069,2023-01-03,LED Bulb Pack,Home & Kitchen,East,Store,23,626.23,5.0,1,13683.13,2023,1,Jan,1,Tuesday
ORD000021,CUST01541,2023-01-03,Winter Jacket,Fashion,North,Marketplace,8,5160.99,0.0,0,41287.92,2023,1,Jan,1,Tuesday
ORD000020,CUST03977,2023-01-03,Running Shoes,Fashion,South,Marketplace,13,3302.4,15.0,0,36491.52,2023,1,Jan,1,Tuesday
ORD000018,CUST03515,2023-01-03,Running Shoes,Fashion,East,Marketplace,8,3700.51,0.0,0,29604.08,2023,1,Jan,1,Tuesday
ORD000015,CUST04262,2023-01-03,Smartphone X,Electronics,South,Online,7,39725.99,5.0,1,264177.83,2023,1,Jan,1,Tuesday
ORD000016,CUST02266,2023-01-03,Laptop Pro 14,Electronics,East,Store,7,82963.38,5.0,0,551706.48,2023,1,Jan,1,Tuesday
ORD000014,CUST04781,2023-01-03,Water Bottle,Home & Kitchen,South,Online,20,747.27,15.0,0,12703.59,2023,1,Jan,1,Tuesday
ORD000013,CUST04284,2023-01-03,Coffee Maker,Home & Kitchen,South,Online,10,6421.88,5.0,0,61007.86,2023,1,Jan,1,Tuesday
ORD000017,CUST04785,2023-01-03,Laptop Pro 14,Electronics,East,Store,6,82776.04,0.0,0,496656.24,2023,1,Jan,1,Tuesday
ORD000032,CUST01706,2023-01-04,Running Shoes,Fashion,East,Store,12,3927.71,0.0,0,47132.52,2023,1,Jan,1,Wednesday
