Order_ID,Customer_ID,Order_Date,Product,Category,Region,Sales_Channel,Quantity,Unit_Price,Discount_Pct,Promotion_Flag,Sales,Year,Month,Month_Name,Week,Day_Name
ORD000001,CUST04912,2023-01-01,Air Fryer,Home & Kitchen,North,Online,17,7965.22,0.0,0,135408.74,2023,1,Jan,52,Sunday
ORD000002,CUST04632,2023-01-01,Smartphone X,Electronics,South,Store,2,37001.47,10.0,0,74002.94,2023,1,Jan,52,Sunday
ORD000003,CUST02768,2023-01-01,Smartphone X,Electronics,South,Online,9,38616.92,10.0,0,347552.28,2023,1,Jan,52,Sunday
ORD000004,CUST02940,2023-01-01,Standing Desk,Furniture,East,Store,11,15883.86,10.0,0,174722.46,2023,1,Jan,52,Sunday
ORD000005,CUST01361,2023-01-01,Running Shoes,Fashion,East,Store,6,3284.47,10.0,0,19706.82,2023,1,Jan,52,Sunday
ORD000006,CUST04086,2023-01-01,Laptop Pro 14,Electronics,West,Marketplace,4,83225.84,0.0,0,332903.36,2023,1,Jan,52,Sunday
ORD000007,CUST04628,2023-01-01,Coffee Maker,Home & Kitchen,East,Marketplace,13,6721.79,0.0,1,87383.27,2023,1,Jan,52,Sunday
ORD000008,CUST01758,2023-01-01,Air Fryer,Home & Kitchen,North,Store,15,6574.34,15.0,0,98615.1,2023,1,Jan,52,Sunday
ORD000009,CUST02733,2023-01-02,Smartphone X,Electronics,West,Marketplace,5,40559.98,5.0,0,202799.9,2023,1,Jan,1,Monday
ORD000010,CUST04541,2023-01-02,Running Shoes,Fashion,South,Marketplace,12,3708.69,0.0,1,44504.28,2023,1,Jan,1,Monday
ORD000011,CUST04374,2023-01-02,LED Bulb Pack,Home & Kitchen,West,Marketplace,15,658.41,0.0,0,9876.15,2023,1,Jan,1,Monday
ORD000012,CUST04982,2023-01-02,LED Bulb Pack,Home & Kitchen,North,Store,20,669.86,0.0,0,13397.2,2023,1,Jan,1,Monday
ORD000013,CUST04284,2023-01-03,Coffee Maker,Home & Kitchen,South,Online,10,6421.88,5.0,0,64218.8,2023,1,Jan,1,Tuesday
ORD000014,CUST04781,2023-01-03,Water Bottle,Home & Kitchen,South,Online,20,747.27,15.0,0,14945.4,2023,1,Jan,1,Tuesday
ORD000015,CUST04262,2023-01-03,Smartphone X,Electronics,South,Online,7,39725.99,5.0,1,278081.93,2023,1,Jan,1,Tuesday
ORD000016,CUST02266,2023-01-03,Laptop Pro 14,Electronics,East,Store,7,82963.38,5.0,0,580743.66,2023,1,Jan,1,Tuesday
ORD000017,CUST04785,2023-01-03,Laptop Pro 14,Electronics,East,Store,6,82776.04,0.0,0,496656.24,2023,1,Jan,1,Tuesday
ORD000018,CUST03515,2023-01-03,Running Shoes,Fashion,East,Marketplace,8,3700.51,0.0,0,29604.08,2023,1,Jan,1,Tuesday
ORD000019,CUST02502,2023-01-03,Smartphone X,Electronics,North,Store,13,40254.97,5.0,0,523314.61,2023,1,Jan,1,Tuesday
ORD000020,CUST03977,2023-01-03,Running Shoes,Fashion,South,Marketplace,13,3302.4,15.0,0,42931.2,2023,1,Jan,1,Tuesday
ORD000021,CUST01541,2023-01-03,Winter Jacket,Fashion,North,Marketplace,8,5160.99,0.0,0,41287.92,2023,1,Jan,1,Tuesday
ORD000022,CUST04069,2023-01-03,LED Bulb Pack,Home & Kitchen,East,Store,23,626.23,5.0,1,14403.29,2023,1,Jan,1,Tuesday
ORD000023,CUST02954,2023-01-04,Office Chair,Furniture,East,Marketplace,9,8243.44,0.0,0,74190.96,2023,1,Jan,1,Wednesday
ORD000024,CUST04509,2023-01-04,Smartphone X,Electronics,North,Online,10,41300.09,0.0,0,413000.9,2023,1,Jan,1,Wednesday
ORD000025,CUST02388,2023-01-04,Coffee Maker,Home & Kitchen,West,Marketplace,10,6402.61,0.0,0,64026.1,2023,1,Jan,1,Wednesday
ORD000026,CUST02098,2023-01-04,Backpack,Fashion,East,Store,15,1832.47,0.0,1,27487.05,2023,1,Jan,1,Wednesday
ORD000027,CUST02621,2023-01-04,LED Bulb Pack,Home & Kitchen,East,Online,16,533.02,15.0,0,8528.32,2023,1,Jan,1,Wednesday
ORD000028,CUST04387,2023-01-04,Wireless Headphones,Electronics,West,Online,19,4369.41,5.0,1,83018.79,2023,1,Jan,1,Wednesday
ORD000029,CUST04091,2023-01-04,Office Chair,Furniture,East,Marketplace,6,7780.25,10.0,0,46681.5,2023,1,Jan,1,Wednesday
ORD000030,CUST04446,2023-01-04,Water Bottle,Home & Kitchen,North,Store,14,773.87,15.0,1,10834.18,2023,1,Jan,1,Wednesday
ORD000031,CUST02748,2023-01-04,Air Fryer,Home & Kitchen,West,Online,17,6061.2,20.0,0,103040.4,2023,1,Jan,1,Wednesday
ORD000032,CUST01706,2023-01-04,Running Shoes,Fashion,East,Store,12,3927.71,0.0,0,47132.52,2023,1,Jan,1,Wednesday
ORD000033,CUST02188,2023-01-04,Air Fryer,Home & Kitchen,Central,Marketplace,3,7800.72,0.0,1,23402.16,2023,1,Jan,1,Wednesday
ORD000034,CUST04349,2023-01-04,Water Bottle,Home & Kitchen,West,Online,25,739.41,15.0,1,18485.25,2023,1,Jan,1,Wednesday
ORD000035,CUST03790,2023-01-04,Winter Jacket,Fashion,Central,Store,7,4978.02,5.0,1,34846.14,2023,1,Jan,1,Wednesday
ORD000036,CUST04089,2023-01-04,Winter Jacket,Fashion,South,Online,13,5360.66,0.0,1,69688.58,2023,1,Jan,1,Wednesday
ORD000037,CUST03301,2023-01-04,Running Shoes,Fashion,West,Online,13,3203.06,15.0,0,41639.78,2023,1,Jan,1,Wednesday
ORD000038,CUST03135,2023-01-05,LED Bulb Pack,Home & Kitchen,North,Marketplace,16,604.53,5.0,1,9672.48,2023,1,Jan,1,Thursday
ORD000039,CUST03879,2023-01-05,Backpack,Fashion,East,Online,25,1658.66,5.0,1,41466.5,2023,1,Jan,1,Thursday
ORD000040,CUST04521,2023-01-05,Backpack,Fashion,North,Online,19,1599.65,10.0,0,30393.35,2023,1,Jan,1,Thursday
ORD000041,CUST02694,2023-01-05,Backpack,Fashion,North,Store,24,1664.21,5.0,0,39941.04,2023,1,Jan,1,Thursday
ORD000042,CUST04796,2023-01-05,Smartphone X,Electronics,South,Store,5,38540.13,5.0,0,192700.65,2023,1,Jan,1,Thursday
ORD000043,CUST01637,2023-01-05,Backpack,Fashion,South,Online,17,1738.43,5.0,0,29553.31,2023,1,Jan,1,Thursday
ORD000044,CUST01330,2023-01-05,Winter Jacket,Fashion,Central,Online,8,4794.09,5.0,0,38352.72,2023,1,Jan,1,Thursday
ORD000045,CUST04236,2023-01-05,Water Bottle,Home & Kitchen,East,Online,20,886.58,0.0,0,17731.6,2023,1,Jan,1,Thursday
ORD000046,CUST04969,2023-01-05,Air Fryer,Home & Kitchen,West,Store,12,6967.82,10.0,1,83613.84,2023,1,Jan,1,Thursday
ORD000047,CUST01080,2023-01-05,Running Shoes,Fashion,West,Store,14,3103.26,15.0,0,43445.64,2023,1,Jan,1,Thursday
ORD000048,CUST02465,2023-01-05,Running Shoes,Fashion,Central,Marketplace,12,3113.84,15.0,1,37366.08,2023,1,Jan,1,Thursday
ORD000049,CUST03937,2023-01-05,Coffee Maker,Home & Kitchen,East,Online,17,6071.88,5.0,0,103221.96,2023,1,Jan,1,Thursday
ORD000050,CUST02779,2023-01-05,Winter Jacket,Fashion,North,Store,10,5338.75,0.0,0,53387.5,2023,1,Jan,1,Thursday
ORD000051,CUST04899,2023-01-05,Smartphone X,Electronics,East,Online,18,35114.63,15.0,1,632063.34,2023,1,Jan,1,Thursday
ORD000052,CUST04247,2023-01-05,LED Bulb Pack,Home & Kitchen,West,Online,20,572.72,10.0,0,11454.4,2023,1,Jan,1,Thursday
ORD000053,CUST04972,2023-01-05,Backpack,Fashion,North,Online,27,1654.55,10.0,0,44672.85,2023,1,Jan,1,Thursday
ORD000054,CUST02665,2023-01-05,Office Chair,Furniture,East,Marketplace,8,8430.8,0.0,0,67446.4,2023,1,Jan,1,Thursday
ORD000055,CUST04155,2023-01-05,Wireless Headphones,Electronics,East,Store,10,4562.32,0.0,0,45623.2,2023,1,Jan,1,Thursday
ORD000056,CUST01405,2023-01-05,LED Bulb Pack,Home & Kitchen,East,Online,11,567.59,10.0,0,6243.49,2023,1,Jan,1,Thursday
ORD000057,CUST02742,2023-01-05,LED Bulb Pack,Home & Kitchen,North,Marketplace,27,627.71,5.0,1,16948.17,2023,1,Jan,1,Thursday
ORD000058,CUST04913,2023-01-05,Running Shoes,Fashion,North,Online,11,2925.85,20.0,0,32184.35,2023,1,Jan,1,Thursday
